paper_id,source_url,doi
02-CE-LE THI TO QUYEN(10-17)002,https://doi.org/10.22144/ctu.jen.2017.002,10.22144/ctu.jen.2017.002
02-CHAU THI LE DUYEN(12-19)025,https://doi.org/10.22144/ctu.jen.2021.025,10.22144/ctu.jen.2021.025
02-E2-DUONG THI PHUONG LIEN(8-15)089,https://doi.org/10.22144/ctu.jsi.2018.089,10.22144/ctu.jsi.2018.089
02-ED-LE THI NHAN DUYEN(9-16)021,https://doi.org/10.22144/ctu.jen.2017.021,10.22144/ctu.jen.2017.021
02-ED-LE XUAN MAI(7-16)019,https://doi.org/10.22144/ctu.jen.2020.019,10.22144/ctu.jen.2020.019
02-ED-NGUYEN DINH THANH(11-22)002,https://doi.org/10.22144/ctu.jen.2022.002,10.22144/ctu.jen.2022.002
02-ED-NGUYEN THI THANH HA(8-17)012,https://doi.org/10.22144/ctu.jen.2022.012,10.22144/ctu.jen.2022.012
02-FI-DANG XUAN CUONG(9-17)002,https://doi.org/10.22144/ctu.jen.2018.002,10.22144/ctu.jen.2018.002
03-1133-MAI LE BICH TUYEN(17-24)318,https://doi.org/10.22144/ctujoisd.2024.318,10.22144/ctujoisd.2024.318
03-495-EN-TRAN THI THANH NGOC(22-28)003,https://doi.org/10.22144/ctu.jen.2023.003,10.22144/ctu.jen.2023.003
03-557-A-THAI LE TRUONG GIANG(20-27)016,https://doi.org/10.22144/ctu.jen.2023.016,10.22144/ctu.jen.2023.016
03-606-HUYNH TRUONG SANG(23-33)048,https://doi.org/10.22144/ctujoisd.2023.048,10.22144/ctujoisd.2023.048
03-619-LE TRAN THANH LIEM(21-32)303,https://doi.org/10.22144/ctujoisd.2024.303,10.22144/ctujoisd.2024.303
03-622-TO VU THIEN TAM(16-27)264,https://doi.org/10.22144/ctujoisd.2024.264,10.22144/ctujoisd.2024.264
03-677-NGO HO ANH KHOI(20-29)031,https://doi.org/10.22144/ctujoisd.2023.031,10.22144/ctujoisd.2023.031
03-720-TONG THI ANH NGOC(25-31)288,https://doi.org/10.22144/ctujoisd.2024.288,10.22144/ctujoisd.2024.288
03-843-PHAM PHI PHUONG(14-19)276,https://doi.org/10.22144/ctujoisd.2024.276,10.22144/ctujoisd.2024.276
03-AE-LE HOANG NGOAN(13-19)38,https://doi.org/10.22144/ctu.jen.2016.038,10.22144/ctu.jen.2016.038
03-AE-TRAN TRANG NHAT(14-18),,
03-AG-DOAN THI KIEU TIEN(17-22)036,https://doi.org/10.22144/ctu.jen.2021.036,10.22144/ctu.jen.2021.036
03-AV-HO THI VIET THU(24-29)003,https://doi.org/10.22144/ctu.jen.2019.003,10.22144/ctu.jen.2019.003
03-AV-NGUYEN NHAT XUAN DUNG(14-18),https://doi.org/10.22144/ctu.jen.2016.018,10.22144/ctu.jen.2016.018
03-AV-NGUYEN THI THUY(17-23)034,https://doi.org/10.22144/ctu.jen.2018.034,10.22144/ctu.jen.2018.034
03-AV-TRAN NGOC BICH(16-21)019,https://doi.org/10.22144/ctu.jen.2019.019,10.22144/ctu.jen.2019.019
03-AV-TRUONG THANH TRUNG(13-19),,
03-BE-VO DINH LE TAM(17-23)003,https://doi.org/10.22144/ctu.jen.2021.003,10.22144/ctu.jen.2021.003
03-BT-DANG HOAI AN(19-27)034,https://doi.org/10.22144/ctu.jen.2019.034,10.22144/ctu.jen.2019.034
03-CE-NGUYEN HONG TIN(18-29)003,https://doi.org/10.22144/ctu.jen.2017.003,10.22144/ctu.jen.2017.003
03-DANG THI HOANG OANH(20-25)026,https://doi.org/10.22144/ctu.jen.2021.026,10.22144/ctu.jen.2021.026
03-E3-HA THI THUY VY(16-25)090,https://doi.org/10.22144/ctu.jsi.2018.090,10.22144/ctu.jsi.2018.090
03-EC-LE MINH SON(16-29)003,https://doi.org/10.22144/ctu.jen.2020.003,10.22144/ctu.jen.2020.003
03-EC-PHAM CHI HIEU(16-22)019,https://doi.org/10.22144/ctu.jen.2018.019,10.22144/ctu.jen.2018.019
03-ED-DINH THANH HUNG(15-24)011,https://doi.org/10.22144/ctu.jen.2020.011,10.22144/ctu.jen.2020.011
03-ED-LUU NGUYEN QUOC HUNG(17-26)020,https://doi.org/10.22144/ctu.jen.2020.020,10.22144/ctu.jen.2020.020
03-ED-PHUONG HOANG YEN(17-22)022,https://doi.org/10.22144/ctu.jen.2017.022,10.22144/ctu.jen.2017.022
03-EN-VO THI HONG NHUNG(23-34)003,https://doi.org/10.22144/ctu.jen.2022.003,10.22144/ctu.jen.2022.003
03-ET-LUONG HUYNH VU THANH(18-27)015,https://doi.org/10.22144/ctu.jen.2022.015,10.22144/ctu.jen.2022.015
03-FI-NGUYEN THI KIM HA(18-26)003,https://doi.org/10.22144/ctu.jen.2018.003,10.22144/ctu.jen.2018.003
04-1134-TIN TRUNG CHAU(25-34)319,https://doi.org/10.22144/ctujoisd.2024.319,10.22144/ctujoisd.2024.319
04-501-ET-HO PHAM THANH TAM(29-40)004,https://doi.org/10.22144/ctu.jen.2023.004,10.22144/ctu.jen.2023.004
04-584-A-NGUYEN CHANH NGHIEM(28-34)017,https://doi.org/10.22144/ctu.jen.2023.017,10.22144/ctu.jen.2023.017
04-614-MACH BAO NGOC(34-54)049,https://doi.org/10.22144/ctujoisd.2023.049,10.22144/ctujoisd.2023.049
04-635-TRAN TRUNG GIANG(28-35)259,https://doi.org/10.22144/ctujoisd.2024.259,10.22144/ctujoisd.2024.259
04-678-NGUYEN MINH TUAN(30-38)032,https://doi.org/10.22144/ctujoisd.2023.032,10.22144/ctujoisd.2023.032
04-725-TRAN THI NGOC NHUNG(32-41)289,https://doi.org/10.22144/ctujoisd.2024.289,10.22144/ctujoisd.2024.289
04-783-VAN TUAN CAO(33-43)304,https://doi.org/10.22144/ctujoisd.2024.304,10.22144/ctujoisd.2024.304
04-846-TRONG PHUOC HUYNH(20-27)277,https://doi.org/10.22144/ctujoisd.2024.277,10.22144/ctujoisd.2024.277
04-AE-NGUYEN DINH TRUNG(20-27)39,https://doi.org/10.22144/ctu.jen.2016.039,10.22144/ctu.jen.2016.039
04-AE-TRUONG PHONG TUYEN(19-26),,
04-AG-NGUYEN VAN VINH(23-30)023,https://doi.org/10.22144/ctu.jen.2017.023,10.22144/ctu.jen.2017.023
04-AV-NGUYEN THI KIM DONG(19-24),https://doi.org/10.22144/ctu.jen.2016.019,10.22144/ctu.jen.2016.019
04-AV-NGUYEN VAN THU(30-35)004,https://doi.org/10.22144/ctu.jen.2019.004,10.22144/ctu.jen.2019.004
04-AV-TRAN NGOC BICH(23-29)037,https://doi.org/10.22144/ctu.jen.2021.037,10.22144/ctu.jen.2021.037
04-BE-VO NAM SON(24-38)004,https://doi.org/10.22144/ctu.jen.2021.004,10.22144/ctu.jen.2021.004
